Ticker,TrailingPE,ForwardPE,actualRatio
VEEV,29.089909,16.040096,0.5513972560037915
VTR,160.67273,104.37361,0.6496037628787411
VLTO,22.177835,18.501238,0.8342220058901151
VRSN,33.90718,28.807194,0.8495897918965836
VRSK,26.196945,19.820175,0.7565834489479594
VZ,11.82683,9.194527,0.7774295394454813
VRTX,25.855871,20.272768,0.7840682682861466
VICI,9.80137,9.751278,0.9948892858855445
V,28.439026,21.98378,0.7730145188516654
VST,27.472454,15.018367,0.5466700208143037
VMC,31.827219,24.800491,0.7792226835778521
WRB,14.264832,13.948825,0.9778471278175586
GWW,33.599247,24.80688,0.7383165462011694
WAB,36.93079,21.556732,0.5837062245351372
WMT,41.75,36.05014,0.8634764071856287
DIS,16.5248,13.780772,0.8339448586367159
WM,31.183792,23.302542,0.7472645405023225
WEC,22.643288,18.818808,0.831098734424082
WFC,11.981453,9.813776,0.8190806240278203
WELL,104.8702,64.91965,0.6190476417514222
WST,42.325306,33.095337,0.7819278849395679
WDC,31.39737,30.116835,0.959215214522745
WY,42.535713,34.175034,0.8034433089202007
WSM,22.264872,19.395758,0.8711371886620323
WMB,33.482456,29.692724,0.8868143961721326
WTW,15.044014,11.5681305,0.7689523886377665
WYNN,28.04298,17.980265,0.6411681283515518
XEL,23.27954,17.824635,0.7656781448430682
XYL,27.57568,18.238873,0.6614115408940052
YUM,24.800322,20.54524,0.828426340593481
ZTS,13.15246,10.793641,0.820655679621911
